username,password,point,usericon_path,clicked_good_answer_numQA,clicked_good_solved_numQA,Unnamed: 6
AMI_KOBAYASHI,aaa,9920,static\img\user_icon\user_10.svg,\0\6,\20\21\19\0,
YUTA_MIURA,bbb,10000,static\img\user_icon\user_8.svg,,,
MIKI_MATSUMOTO,ccc,300000,static\img\user_icon\user_7.svg,,,
KENICHI_OKADA,123qwe,1560,static\img\user_icon\user_0.svg,\0\6\8,\2\4\7\5,
HIROKO_MURATA,pass1,9000,static\img\user_icon\user_1.svg,,,
DAISUKE_SAITO,pass2,2000,static\img\user_icon\user_2.svg,,,
TOMOKO_SUGIYAMA,pass3,3300,static\img\user_icon\user_3.svg,,,
YUSUKE_HASEGAWA,pass4,5800,static\img\user_icon\user_4.svg,,,
MIWA_FUJII,pass5,5000,static\img\user_icon\user_5.svg,,,
KATSU_IWATA,pass6,6000,static\img\user_icon\user_6.svg,,,
MAYU_NAKAJIMA,pass7,8500,static\img\user_icon\user_7.svg,,,
SHOTA_TAKANO,pass8,8000,static\img\user_icon\user_8.svg,,,
